Position_X1,Position_Y1,Position_X2,Position_Y2,Position_X3,Position_Y3,Velocity_X1,Velocity_Y1,Velocity_X2,Velocity_Y2,Velocity_X3,Velocity_Y3,Momentum_X1,Momentum_Y1,Momentum_X2,Momentum_Y2,Momentum_X3,Momentum_Y3
99981749773.25894,2999835773.458677,-99999999944.7485,-2999999998.824478,1987685157.8231242,149981527623.11414,-331.77011413056596,29995.52184129096,0.0010043675355725168,-29999.999974219416,19777.41008892221,-333.88694508372043,-1.98133112158774e+27,1.7913325643618962e+29,1.9976870282537358e+27,-5.966999994872241e+34,1.453244093334004e+27,-2.4534012724751777e+25
99978100579.63689,3299781046.47517,-99999999933.70148,-3299999998.52474,2185241428.264598,149977862005.8662,-364.9193622051583,29994.527301649327,0.0011047033463475388,-29999.999970026187,19755.627044147397,-366.56172479152156,-2.1792984310892054e+27,1.791273170454498e+29,2.1972549558852546e+27,-5.966999994038208e+34,1.4516434752039507e+27,-2.6934955537681003e+25
99974119975.3361,3599715382.1178885,-99999999921.65137,-3599999998.180138,2382580709.719534,149973870903.00424,-398.0604300785629,29993.433564271818,0.001205011487329466,-29999.999965539777,19733.928145493603,-399.11028619614245,-2.3772168884291778e+27,1.7912078524583132e+29,2.396767848298308e+27,-5.966999993145861e+34,1.4500490401308698e+27,-2.9326623829692548e+25
99969808049.96423,3899637789.14348,-99999999908.59846,-3899999997.7877417,2579703837.8666363,149969555568.03745,-431.1925371876055,29992.240702559135,0.0013052896362289966,-29999.999960760375,19712.31281471021,-431.5334966796886,-2.57508183208438e+27,1.7911366147568316e+29,2.596221086459474e+27,-5.966999992195238e+34,1.448460745624906e+27,-3.170908133602352e+25
99965164900.9243,4199547277.109202,-99999999894.5431,-4199999997.3446236,2776611642.658895,149964917245.88638,-464.3149039933168,29990.948796572226,0.0014055354736222077,-29999.999955688192,19690.780479225876,-463.8322151054091,-2.772888606648088e+27,1.7910594621312934e+29,2.795610057034571e+27,-5.966999991186381e+34,1.4468785496135174e+27,-3.4082391165945457e+25
99960190633.40361,4499442856.439375,-99999999879.48564,-4499999996.847858,2973304948.3796563,149959957172.96713,-497.42675206950224,29989.55793301727,0.0015057466832191619,-29999.999950323454,19669.33057207614,-496.0072919262881,-2.9706325633590676e+27,1.7909763997597914e+29,2.994930152922913e+27,-5.966999990119335e+34,1.4453024104361546e+27,-3.644661581074365e+25
99954885360.3617,4799323538.491669,-99999999863.42644,-4799999996.294522,3169784573.697978,149954676577.2742,-530.5273041910177,29988.068205229403,0.0016059209521315893,-29999.99994466641,19647.96253183216,-528.0595692919364,-3.168309060628758e+27,1.7908874332163e+29,3.194176773789731e+27,-5.966999988994149e+34,1.443732286839027e+27,-3.880181715157149e+25
99949249202.51747,5099188335.623221,-99999999846.36588,-5099999995.681696,3366051331.723284,149949076678.46268,-563.6157844217273,29986.479713155226,0.0017060559711395726,-29999.999938717334,19626.675802530568,-559.9898811538153,-3.3659134645665554e+27,1.79079256846963e+29,3.39334532659661e+27,-5.966999987810878e+34,1.442168137969946e+27,-4.114805646718234e+25
99943282288.33545,5399036261.256562,-99999999828.30438,-5399999995.006461,3562106030.059328,149943158687.929,-596.6914182021208,29984.79256333408,0.0018061494349571711,-29999.999932476512,19605.46983360441,-591.7990533688221,-3.5634411495030653e+27,1.790691811882311e+29,3.5924312261298133e+27,-5.966999986569578e+34,1.440609923373252e+27,-4.3485394441541044e+25
99936984754.01108,5698866329.945343,-99999999809.24239,-5699999994.265903,3757949470.8574796,149936923808.89096,-629.7534324365672,29983.00686887811,0.0019061990424969137,-29999.999925944252,19584.34407981516,-623.487903801269,-3.76088749851118e+27,1.7905851702094007e+29,3.7914298955263614e+27,-5.966999985270312e+34,1.439057602984818e+27,-4.581389117131725e+25
99930356743.45528,5998677557.439855,-99999999789.18036,-5999999993.457112,3953582450.8693376,149930373236.46674,-662.8010555801832,29981.122749451122,0.002006202497133093,-29999.999919120884,19563.298001185794,-655.0572424232843,-3.958247903924854e+27,1.790472650597221e+29,3.9903367667977216e+27,-5.966999983913143e+34,1.4375111371271321e+27,-4.813360617326293e+25
99923398408.27803,6298468960.752316,-99999999768.11879,-6299999992.57718,4149005761.4986863,149923508157.7526,-695.8335177252925,29979.140331246228,0.002106157506963797,-29999.99991200676,19542.331062934878,-686.5078714136644,-4.155517767855447e+27,1.790354260582025e+29,4.189147281350992e+27,-5.966999982498144e+34,1.4359704865044548e+27,-5.044459839147605e+25
99916109907.77115,6598239558.221939,-99999999746.05817,-6599999991.623202,4344220188.852803,149916329751.90005,-728.8500506874549,29977.059746962295,0.002206061785071609,-29999.999904602246,19521.442735411685,-717.840585255206,-4.352692502705481e+27,1.7902300080885882e+29,4.3878568905074297e+27,-5.966999981025387e+34,1.4344356121980506e+27,-5.274692620455253e+25
99908491408.89024,6897988369.579731,-99999999722.99904,-6899999990.592279,4539226513.793126,149908839190.19174,-761.8498880910425,29974.88113577923,0.0023059130497829123,-29999.99989690773,19500.632494032307,-749.0561708305446,-4.5497675316797065e+27,1.7900999014287356e+29,4.5864610560182123e+27,-5.966999979494947e+34,1.4329064756614938e+27,-5.504064743262841e+25
99900543086.2357,7197714416.013052,-99999999698.94196,-7199999989.481516,4734025511.985293,149901037636.11658,-794.8322654543422,29972.604643332055,0.0024057090249257345,-29999.999888923627,19479.899819216735,-780.1554075165283,-4.746738289293332e+27,1.7899639492997903e+29,4.7849552505772856e+27,-5.966999977906909e+34,1.4313830387160457e+27,-5.732581934431449e+25
99892265122.03296,7497416720.229891,-99999999673.88748,-7499999988.288019,4928617953.948563,149892926245.44382,-827.7964202741606,29970.230421683846,0.002505447440086066,-29999.999880650357,19459.244196326905,-811.1390672771516,-4.9436002218772875e+27,1.7898221607829592e+29,4.983334958331185e+27,-5.9669999762613555e+34,1.429865263546101e+27,-5.96024986635251e+25
99883657706.11186,7797094306.522865,-99999999647.83623,-7799999987.008903,5123004605.104619,149884506166.29626,-860.7415921099132,29967.758629297496,0.002605126030862592,-29999.999872088374,19438.665115605683,-842.0079147550769,-5.140348788080402e+27,1.7896745453416465e+29,5.181595675385696e+27,-5.966999974558377e+34,1.4283531126947056e+27,-6.187074157620305e+25
99874721035.8852,8096746200.832929,-99999999620.7888,-8099999985.641284,5317186225.825787,149875778539.22266,-893.6670226671743,29965.189431006333,0.0027047425391197705,-29999.99986323814,19418.16207211678,-872.7627073617673,-5.336979459368365e+27,1.7895211128196982e+29,5.379732910309223e+27,-5.966999972798066e+34,1.4268465490591407e+27,-6.413060373694266e+25
99865455316.32639,8396371430.812765,-99999999592.74585,-8399999984.182285,5511163571.482642,149866744497.26898,-926.571955880667,29962.522997983608,0.002804294713239199,-29999.999854100144,19397.734565685565,-903.4041953662583,-5.533487720519344e+27,1.7893618734395813e+29,5.577742184632767e+27,-5.966999970980518e+34,1.4253455358865752e+27,-6.6382140275512655e+25
99855860759.94641,8695969025.889874,-99999999563.70805,-8699999982.629034,5704937392.49105,149857405166.04916,-959.4556379966743,29959.75950771085,0.002903780308369209,-29999.99984467489,19377.382100840794,-933.933121982589,-5.72986907011614e+27,1.789196837800492e+29,5.775619033346356e+27,-5.966999969105836e+34,1.4238500367697814e+27,-6.862540580328064e+25
99845937586.76987,8995538017.329325,-99999999533.67609,-8999999980.978662,5898508434.358622,149847761663.8146,-992.3173176548491,29956.899143945117,0.00300319708667262,-29999.999834962902,19357.104186757173,-964.3502234559211,-5.92611902103476e+27,1.7890260168764026e+29,5.973359005391841e+27,-5.966999967174121e+34,1.422360015642917e+27,-7.086045441954108e+25
99835686024.31017,9295077438.296177,-99999999502.65067,-9299999979.22831,6091877437.73061,149837815101.52313,-1025.156245969404,29953.942096685132,0.003102542817572604,-29999.999824964725,19336.90033719883,-994.6562291473651,-6.122233100929281e+27,1.788849422014036e+29,6.170957664151909e+27,-5.966999965185484e+34,1.42087543677737e+27,-7.308733971774839e+25
99825106307.54407,9594586323.91754,-99999999470.6325,-9599999977.375118,6285045138.4352455,149827566582.90695,-1057.9716766096603,29950.888562136333,0.0032018152779965943,-29999.999814680923,19316.770070463594,-1024.8518616175395,-6.318206852712892e+27,1.788667064930782e+29,6.368410587935226e+27,-5.966999963140035e+34,1.4193962647776648e+27,-7.53061147916568e+25
